Exon	Gene	HUGO	ExonNumber	PairwiseTissue	TissueSpecificity
ENSE00001072853	ENSG00000135636	DYSF	55	brain2muscle, colon2muscle, heart2muscle, kidney2muscle, liver2muscle, muscle2pancreas, muscle2skeletalMuscle, muscle2spleen, muscle2testis, muscle2thyroid	muscle
ENSE00000980710	ENSG00000147573	TRIM55	11	brain2muscle, colon2muscle, heart2muscle, kidney2muscle, liver2muscle, muscle2pancreas, muscle2skeletalMuscle, muscle2spleen, muscle2testis, muscle2thyroid	muscle
ENSE00000980706	ENSG00000147573	TRIM55	11	brain2muscle, colon2muscle, heart2muscle, kidney2muscle, liver2muscle, muscle2pancreas, muscle2skeletalMuscle, muscle2spleen, muscle2testis, muscle2thyroid	muscle
ENSE00000980708	ENSG00000147573	TRIM55	11	brain2muscle, colon2muscle, heart2muscle, kidney2muscle, liver2muscle, muscle2pancreas, muscle2skeletalMuscle, muscle2spleen, muscle2testis, muscle2thyroid	muscle
ENSE00000709651	ENSG00000035403	VCL	22	brain2muscle, colon2muscle, heart2muscle, kidney2muscle, liver2muscle, muscle2pancreas, muscle2skeletalMuscle, muscle2spleen, muscle2testis, muscle2thyroid	muscle
ENSE00001530953	ENSG00000149294	NCAM1	25	brain2muscle, colon2muscle, heart2muscle, kidney2muscle, liver2muscle, muscle2pancreas, muscle2skeletalMuscle, muscle2spleen, muscle2testis, muscle2thyroid	muscle
ENSE00001530952	ENSG00000149294	NCAM1	25	brain2muscle, colon2muscle, heart2muscle, kidney2muscle, liver2muscle, muscle2pancreas, muscle2skeletalMuscle, muscle2spleen, muscle2testis, muscle2thyroid	muscle
ENSE00001513560	ENSG00000017427	IGF1	11	brain2muscle, colon2muscle, heart2muscle, kidney2muscle, liver2muscle, muscle2pancreas, muscle2skeletalMuscle, muscle2spleen, muscle2testis, muscle2thyroid	muscle
ENSE00000912834	ENSG00000198838	RYR3	108	brain2muscle, colon2muscle, heart2muscle, kidney2muscle, liver2muscle, muscle2pancreas, muscle2skeletalMuscle, muscle2spleen, muscle2testis, muscle2thyroid	muscle
ENSE00000673711	ENSG00000198838	RYR3	108	brain2muscle, colon2muscle, heart2muscle, kidney2muscle, liver2muscle, muscle2pancreas, muscle2skeletalMuscle, muscle2spleen, muscle2testis, muscle2thyroid	muscle
ENSE00001540626	ENSG00000198838	RYR3	108	brain2muscle, colon2muscle, heart2muscle, kidney2muscle, liver2muscle, muscle2pancreas, muscle2skeletalMuscle, muscle2spleen, muscle2testis, muscle2thyroid	muscle
ENSE00000912951	ENSG00000198838	RYR3	108	brain2muscle, colon2muscle, heart2muscle, kidney2muscle, liver2muscle, muscle2pancreas, muscle2skeletalMuscle, muscle2spleen, muscle2testis, muscle2thyroid	muscle
ENSE00000673710	ENSG00000198838	RYR3	108	brain2muscle, colon2muscle, heart2muscle, kidney2muscle, liver2muscle, muscle2pancreas, muscle2skeletalMuscle, muscle2spleen, muscle2testis, muscle2thyroid	muscle
ENSE00001542491	ENSG00000182871	COL18A1	73	brain2muscle, colon2muscle, heart2muscle, kidney2muscle, liver2muscle, muscle2pancreas, muscle2skeletalMuscle, muscle2spleen, muscle2testis, muscle2thyroid	muscle
ENSE00001368345	ENSG00000182871	COL18A1	73	brain2muscle, colon2muscle, heart2muscle, kidney2muscle, liver2muscle, muscle2pancreas, muscle2skeletalMuscle, muscle2spleen, muscle2testis, muscle2thyroid	muscle
ENSE00001389173	ENSG00000183963	SMTN	25	brain2muscle, colon2muscle, heart2muscle, kidney2muscle, liver2muscle, muscle2pancreas, muscle2skeletalMuscle, muscle2spleen, muscle2testis, muscle2thyroid	muscle
ENSE00001319641	ENSG00000183963	SMTN	25	brain2muscle, colon2muscle, heart2muscle, kidney2muscle, liver2muscle, muscle2pancreas, muscle2skeletalMuscle, muscle2spleen, muscle2testis, muscle2thyroid	muscle
ENSE00001364818	ENSG00000101076	HNF4A	17	brain2pancreas, colon2pancreas, heart2pancreas, kidney2pancreas, liver2pancreas, muscle2pancreas, pancreas2skeletalMuscle, pancreas2spleen, pancreas2testis, pancreas2thyroid	pancreas
ENSE00001163835	ENSG00000170820	FSHR	10	brain2testis, colon2testis, heart2testis, kidney2testis, liver2testis, muscle2testis, pancreas2testis, skeletalMuscle2testis, spleen2testis, testis2thyroid	testis
ENSE00001163850	ENSG00000170820	FSHR	10	brain2testis, colon2testis, heart2testis, kidney2testis, liver2testis, muscle2testis, pancreas2testis, skeletalMuscle2testis, spleen2testis, testis2thyroid	testis
ENSE00000796704	ENSG00000118260	CREB1	10	brain2testis, colon2testis, heart2testis, kidney2testis, liver2testis, muscle2testis, pancreas2testis, skeletalMuscle2testis, spleen2testis, testis2thyroid	testis
ENSE00001514508	ENSG00000158525	CPA5	17	brain2testis, colon2testis, heart2testis, kidney2testis, liver2testis, muscle2testis, pancreas2testis, skeletalMuscle2testis, spleen2testis, testis2thyroid	testis
ENSE00001186914	ENSG00000165568	AKR1CL2	10	brain2testis, colon2testis, heart2testis, kidney2testis, liver2testis, muscle2testis, pancreas2testis, skeletalMuscle2testis, spleen2testis, testis2thyroid	testis
ENSE00001186920	ENSG00000165568	AKR1CL2	10	brain2testis, colon2testis, heart2testis, kidney2testis, liver2testis, muscle2testis, pancreas2testis, skeletalMuscle2testis, spleen2testis, testis2thyroid	testis
ENSE00001360581	ENSG00000095794	CREM	23	brain2testis, colon2testis, heart2testis, kidney2testis, liver2testis, muscle2testis, pancreas2testis, skeletalMuscle2testis, spleen2testis, testis2thyroid	testis
ENSE00000985588	ENSG00000095794	CREM	23	brain2testis, colon2testis, heart2testis, kidney2testis, liver2testis, muscle2testis, pancreas2testis, skeletalMuscle2testis, spleen2testis, testis2thyroid	testis
ENSE00001371027	ENSG00000095794	CREM	23	brain2testis, colon2testis, heart2testis, kidney2testis, liver2testis, muscle2testis, pancreas2testis, skeletalMuscle2testis, spleen2testis, testis2thyroid	testis
ENSE00000985586	ENSG00000095794	CREM	23	brain2testis, colon2testis, heart2testis, kidney2testis, liver2testis, muscle2testis, pancreas2testis, skeletalMuscle2testis, spleen2testis, testis2thyroid	testis
ENSE00001309113	ENSG00000082805	ERC1	25	brain2testis, colon2testis, heart2testis, kidney2testis, liver2testis, muscle2testis, pancreas2testis, skeletalMuscle2testis, spleen2testis, testis2thyroid	testis
ENSE00001193029	ENSG00000082805	ERC1	25	brain2testis, colon2testis, heart2testis, kidney2testis, liver2testis, muscle2testis, pancreas2testis, skeletalMuscle2testis, spleen2testis, testis2thyroid	testis
ENSE00001104129	ENSG00000089505	CMTM1	17	brain2testis, colon2testis, heart2testis, kidney2testis, liver2testis, muscle2testis, pancreas2testis, skeletalMuscle2testis, spleen2testis, testis2thyroid	testis
ENSE00001481298	ENSG00000089505	CMTM1	17	brain2testis, colon2testis, heart2testis, kidney2testis, liver2testis, muscle2testis, pancreas2testis, skeletalMuscle2testis, spleen2testis, testis2thyroid	testis
ENSE00001481359	ENSG00000089505	CMTM1	17	brain2testis, colon2testis, heart2testis, kidney2testis, liver2testis, muscle2testis, pancreas2testis, skeletalMuscle2testis, spleen2testis, testis2thyroid	testis
